Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
Jim	12:12 3/5/2016	144
Lana	12:12 3/5/2016	159
Kara	12:12 3/5/2016	98
Jim	16:1 4/3/2016	126
Mike	16:25 4/3/2016	153
Mike	16:25 4/3/2016	152
Mike	16:25 4/3/2016	109
Jim	16:25 4/3/2016	142
Jim	16:25 4/3/2016	104
Jim	16:25 4/3/2016	147
Mike	17:31 4/3/2016	136
Mike	17:31 4/3/2016	136
Mike	17:31 4/3/2016	114
Jim	17:31 4/3/2016	183
Jim	17:31 4/3/2016	157
Jim	17:31 4/3/2016	87
Mike	17:58 4/3/2016	159
Jim	17:58 4/3/2016	143
Tom	17:58 4/3/2016	112
Mike	17:24 4/4/2016	117
Mike	17:26 4/4/2016	124
Mike	17:29 4/4/2016	148
Jim	17:32 4/4/2016	183
Mike	17:33 4/4/2016	108
Lana	17:33 4/4/2016	138
